"word","cluster","eigen"
"queridos","1","0.0415359496813682"
"agudelo","2","2.1910656450974e-05"
"magistrados","3","0.197169063024787"
"carlos","4","0.00183171323136624"
"especial","3","0.134874633127731"
"versiones","5","0.117981215280791"
"ejecuciones","1","0.00183122996117639"
"justicia","6","0.4693659340974"
"colegas","7","0.0148449803394967"
"condicionalidad","4","0.00168535868527495"
"falsos","7","0.00111581921520549"
"alberto","8","2.32420593429048e-05"
"representantes","3","0.0951935162501851"
"desaparición","2","0.085706063442483"
"fuerza","7","0.0766264527740602"
"hijos","9","0.0387017151315111"
"niñas","2","0.000785970467794764"
"derechos","10","0.0921776189158827"
"ustedes","7","0.681392383997589"
"alejandro","11","0.0266722934981797"
"días","3","0.166219547580225"
"ejército","12","0.170182166246964"
"familiares","9","0.178539782415068"
"militar","13","0.0159468108969203"
"armado","1","0.00730382343252928"
"entender","4","0.00536682278691015"
"escenario","8","0.0207575438972954"
"fuerzas","14","0.00230117349776294"
"batallón","15","0.00211764531707141"
"camargo","8","1.97755923899787e-06"
"colombiana","3","0.0336875884267166"
"hermanos","9","0.0102698632058161"
"integral","6","0.158718823032726"
"mis","9","0.0664563322048022"
"observaciones","5","0.0591632462388342"
"aguelo","8","1.75771318741106e-05"
"amados","1","0.00769226555111652"
"doña","8","0.123644646474616"
"máximos","16","0.000227544335614222"
"reparación","6","0.188833422927482"
"víctimas","3","1"
"ancho","14","0.0185314903037418"
"audiencia","17","0.41962825062286"
"bajas","18","9.66734382644755e-05"
"bases","4","0.000477622481955899"
"bendiga","17","0.0201613568514091"
"búsqueda","19","0.0856423932184777"
"carmen","8","0.0116596596310671"
"cautelares","4","0.000227817718265507"
"desapariciones","1","0.00883824543432529"
"ema","8","0.00113843173531497"
"granada","12","0.0131883745482493"
"importante","17","0.158519735474365"
"madres","9","0.0140199153688018"
"militares","14","0.0194872169935537"
"país","14","0.219364289998284"
"pública","4","0.00661883986916171"
"representación","16","0.0873429878876259"
"óscar","11","0.000391904563187275"
"aplausos","17","0.174903632858136"
"artículo","15","0.000198638506035084"
"causaron","15","0.0120392242518815"
"celi","12","0.000275334013012319"
"cometieron","10","2.58464496297654e-05"
"cuál","18","0.000467307596266565"
"desaparecidos","19","0.0153888370016751"
"día","17","0.280080834388584"
"estación","20","0.000482420494348341"
"garantías","6","0.111941811553291"
"general","3","0.0216791712694548"
"legal","16","0.00769673601228297"
"luz","21","0.0346282515739782"
"objetiva","20","0.000176867351258408"
"organizaciones","3","0.0925199266811839"
"palabras","14","0.0285734902902952"
"patricia","21","3.46452693358601e-05"
"registro","13","0.0158871314942619"
"suárez","21","3.13734184087927e-05"
"único","22","0.089562303863893"
"acreditadas","3","0.0861771862835605"
"acuerdo","16","0.0132935590612604"
"agradecemos","17","0.172854176270169"
"altos","14","0.000141085392935809"
"arpa","5","0.0879447749510569"
"asesinatos","1","0.0014925898367458"
"atenta","23","0.000232066276477553"
"campesinas","19","0.021647603362999"
"castillo","7","0.0129242337683541"
"causado","15","0.0103119558420867"
"central","20","0.000516166660179902"
"clara","21","0.000378735794886713"
"comunidades","18","0.0140229651273698"
"corazón","15","0.104348650719746"
"crímenes","10","0.000305954242161856"
"cuáles","3","0.0844781541420747"
"dairo","12","0.000541415319137844"
"departamento","7","0.0129249015367601"
"distintas","13","0.0213926824712644"
"don","4","0.00170308826061497"
"encontrar","6","0.0405018776039084"
"enteras","18","0.0138806256539821"
"exigimos","6","0.039936174576942"
"guerra","3","0.159999574800671"
"guerrillero","18","0.00431654954270249"
"haga","15","0.0411266390402045"
"hermano","24","0.0203377626425738"
"historia","7","0.0514944657021984"
"humanidad","10","8.77886223104741e-05"
"impunidad","7","0.0678753614193357"
"jaramillo","11","2.4144190580546e-07"
"judicial","19","0.0266703894124646"
"llanos","14","0.0186646919703815"
"llevo","17","0.034217497647086"
"madre","21","0.00439866584997292"
"meta","7","0.151897249033941"
"norte","7","0.0010997200407278"
"pantano","15","0.000310833648811816"
"presentes","3","0.21538110051924"
"protagonistas","7","0.142040924988659"
"proyectos","9","0.0102634949166943"
"quiero","7","0.257991285834241"
"reconocimiento","17","0.111177403255889"
"testimonios","17","0.114992892735346"
"abran","15","0.00881518140002025"
"acercarse","8","0.0017535589929666"
"acto","6","0.0601760960644675"
"adelia","8","0.010445271503725"
"administración","6","0.039651167729719"
"agradecer","7","0.0217946276120171"
"asa","12","0.00317296520202293"
"asesinados","19","0.0200576163092294"
"atención","13","0.0261031830284173"
"barreras","18","0.00126012464505707"
"bautista","23","0.00129280764634551"
"benavides","8","6.17561808777002e-05"
"captura","14","1.2360980621853e-05"
"casa","14","0.00644475989675753"
"caso","23","0.029306764020062"
"cementerio","4","0.00168709579807136"
"colectivo","22","0.00586698730676934"
"comparecientes","5","0.116376245398645"
"compañeras","9","0.00779526763376145"
"compañeros","9","0.0183621971767027"
"común","19","0.108088660640317"
"conflicto","1","0.0864581323621935"
"constitucional","6","6.94636729916312e-05"
"correa","8","9.99742891183452e-05"
"cruzado","18","0.00125988015059731"
"cumplimiento","4","4.26552328936463e-05"
"cúcuta","20","0.000515620767861484"
"decirles","7","0.0793573984586012"
"delegado","16","0.00223054611722797"
"desaparecidas","19","0.0231936322327071"
"divina","6","0.039651167729719"
"dolor","15","0.111905300658593"
"duro","24","0.00543032972465113"
"dónde","25","0.0774498891154713"
"edad","24","0.000148309334689775"
"entregaron","12","0.00237061343156668"
"esperanza","6","0.183905724784564"
"familias","18","0.149114663725527"
"frente","5","0.152696424676555"
"frontera","18","0.00125725112570519"
"gonzález","8","0.000103749949636624"
"guerreras","18","0.0136564494426983"
"guerrilleros","23","0.00103599856944375"
"hijo","12","0.0367482061218408"
"hombres","18","0.0135499964386949"
"hora","3","0.0850853708711093"
"incumplimiento","4","0.000355295137640611"
"incumplió","2","1.69473101936289e-05"
"intermedio","19","0.00019309080261452"
"ley","15","0.00209292244215197"
"luchando","5","0.00487829804287423"
"mamá","24","0.0633600898366345"
"maría","8","0.0133788256351026"
"mensaje","5","0.00997464297351326"
"nacional","13","0.0291884671647231"
"participación","17","0.136591826877837"
"participar","1","0.00883010743043522"
"personas","19","0.251358202715062"
"prestó","13","0.000114623365646418"
"prioridad","3","0.0844781541420747"
"punto","24","7.22245470469682e-05"
"público","16","0.0262153892542455"
"recoge","17","0.0283595659976613"
"seguimos","5","0.00221161274169996"
"seguir","5","0.055534654236032"
"sociedad","3","0.217094034524264"
"sueños","12","0.0132367209797832"
"unidad","13","0.111506637075058"
"ángel","8","2.17113497748622e-05"
"acosta","12","3.94617776438756e-05"
"adriana","8","0.000996347919232161"
"agradecerle","7","0.0450468469242879"
"amarrado","12","0.000603600791397601"
"amor","6","0.0207677922498355"
"análisis","5","0.000425256839771814"
"aportar","23","0.00425073652868746"
"archivos","17","0.00114766614313783"
"armados","20","0.00743589169359205"
"asesinaron","9","0.0228042858954829"
"asesoría","3","0.007724749760449"
"atroces","10","2.58464496297671e-05"
"atrás","22","0.00711062000228511"
"autorizadas","13","0.000803657238084234"
"avanzando","5","0.0047251866518716"
"bisco","18","3.94772831491663e-05"
"bogotá","19","0.00226925997443645"
"borda","22","3.64047421357936e-06"
"buscaban","18","0.0126874764654072"
"cabalgar","5","7.16962881253142e-05"
"camino","6","0.204474115968265"
"campesinos","19","0.00303747175445162"
"carretera","18","0.0136564494426983"
"causados","15","0.00172726840979472"
"cementerios","4","0.019115657379675"
"chitiva","24","0.00174297432397333"
"ciclos","14","0.00889244907135908"
"civil","9","0.0102634949166943"
"colectivos","3","0.0844781541420747"
"colombia","17","0.112085689416319"
"cometió","2","1.86437265345852e-06"
"comparecer","10","0.0024199151962454"
"condiciones","22","0.00132917554866258"
"conducta","2","1.58630838656949e-07"
"construyendo","5","0.0121208773350838"
"contar","7","0.0491436893397193"
"coordinación","10","0.00726926756539278"
"creía","7","0.0575627708465841"
"críticos","7","0.00109181541245122"
"cuerpos","1","0.0105738480752382"
"curso","13","0.0500347030807546"
"cédula","15","1.29517922323927e-06"
"dadas","19","0.0231936322327071"
"daño","15","0.12206653834723"
"daños","15","0.0204463322776894"
"dea","10","3.32626703972285e-05"
"deber","7","0.0500381614486204"
"decidido","5","0.000848696196708276"
"decisiones","19","0.0007661516757593"
"delegada","10","0.00395741105933816"
"destruyeron","18","0.0125969315470487"
"difícil","14","0.000801715820734083"
"diligencia","19","0.0435003834682626"
"dios","17","0.0637540065772843"
"dispositivos","13","2.37799975949513e-05"
"distraer","13","0.00222124484168922"
"documentos","8","0.0240045775092938"
"electrónicos","13","1.81050125181195e-05"
"enterrado","8","0.00204260544053677"
"entreguen","1","0.0113639275085225"
"especialmente","19","0.0212342769938378"
"esquema","4","0.000424247012737476"
"evitar","13","0.0126794367492465"
"fals","22","4.27861355754689e-05"
"falta","24","0.00443422877970693"
"familia","9","0.117907457665185"
"fuga","20","4.16544255606644e-05"
"fundación","23","0.00021298534122286"
"garantizar","17","0.0157302453385025"
"garantía","6","0.0107008690239237"
"garzón","8","4.57017686760785e-05"
"grandeza","3","0.0844781541420747"
"guillermo","8","6.54128635151447e-06"
"hermana","8","0.000517747136505556"
"hermanas","9","0.0074570146680423"
"hijas","9","0.00445382602802693"
"honorables","3","0.0166564784982564"
"ilusión","12","0.000799506697522033"
"incidente","4","0.00381899522618959"
"inocentes","18","0.0214877009405734"
"insistir","7","0.0217946276120171"
"intervenciones","13","0.00309404205511292"
"investigue","1","0.000170439350533118"
"jairo","12","0.000467124051710575"
"jóvenes","2","0.000785970467794766"
"legalidad","10","2.69454654834686e-05"
"lejanías","7","0.0128319992176464"
"llano","5","7.16962881253136e-05"
"llegaron","14","0.00219068554094842"
"llevaron","12","0.007145051848345"
"lucha","7","0.122074051895217"
"lugares","4","0.0018542805158602"
"lópez","8","0.000134489156281116"
"mano","22","0.0684512898295225"
"miller","8","0.00336729394258254"
"minuto","19","0.00869780247415635"
"niño","12","0.000811083385626033"
"nuevamente","7","0.0468464407723014"
"obligar","15","0.00279937877605511"
"ocurrió","14","0.0186889365899112"
"operaciones","14","0.00167017088031896"
"parra","11","3.33488160037214e-05"
"paul","8","9.66688564597341e-07"
"pedir","7","0.0637877478558516"
"perpetuo","3","0.0122097920612375"
"planos","13","0.0858202696853224"
"precisamente","7","0.118727658682729"
"predio","17","0.00153499470939626"
"presión","12","0.0012410862435596"
"programados","13","0.000387836675978994"
"queda","14","0.00257128200329008"
"quedando","9","0.0101902488845271"
"realizando","17","0.00451315119698139"
"relatos","7","0.0575627708465841"
"respetar","13","0.017331868675306"
"rotos","12","0.00111821375526576"
"seguiremos","5","0.00126975589296113"
"señoras","3","0.0345757148838099"
"señores","3","0.223488952175965"
"silvio","8","1.05824934372289e-06"
"soltero","22","0.00756605811113328"
"tarde","25","0.00234177726479321"
"testimonio","17","0.213553931351341"
"tía","21","0.00364867187806702"
"abandonado","4","0.000142522738881914"
"abdenago","8","5.50997180790849e-05"
"abogada","23","0.00249377393677803"
"abogado","16","0.00409776998503446"
"abril","19","0.0213869058995065"
"abrir","19","0.000620041881977769"
"abstenerse","6","0.0107783462761784"
"acabado","9","0.00996060438313967"
"acompañamiento","3","0.0844781541420747"
"acompañar","17","0.0354494200384871"
"adecuado","13","0.00211333721426978"
"adolescentes","2","6.63973343294824e-05"
"adoptar","15","8.86186863811578e-05"
"adscritos","4","0.00055914737470875"
"afectaciones","15","0.00172726840979472"
"afecte","4","4.3484669096171e-06"
