"","Token","n"
"1","batallón",52542
"2","comandante",44338
"3","persona",40754
"4","operación",38919
"5","él",35077
"6","soldado",31840
"7","día",29490
"8","información",28653
"9","hacer",25793
"10","ir",25576
"11","sar",24349
"12","brigada",23961
"13","víctima",22631
"14","unidad",22327
"15","tener",21740
"16","pelotón",21497
"17","orden",21326
"18","resultado",20903
"19","yo",20856
"20","caso",20492
"21","hablar",20314
"22","pasar",19801
"23","pronto",19523
"24","estar",18127
"25","recuerdo",17032
"26","compañía",16995
"27","decir",16956
"28","ver",16894
"29","combate",16725
"30","preguntar",16315
"31","grupo",16183
"32","tú",16154
"33","acuerdo",15985
"34","inteligencia",15768
"35","militar",15207
"36","coronel",14801
"37","baja",14741
"38","salir",13575
"39","especial",13202
"40","situación",13136
"41","haber",12979
"42","poder",12904
"43","recordar",12470
"44","dar",12165
"45","teniente",12121
"46","conocimiento",12077
"47","ejército",11726
"48","sargento",11312
"49","versión",11146
"50","general",10986
"51","llevar",10914
"52","cuál",10718
"53","venir",10324
"54","área",10248
"55","claro",10212
"56","informar",10190
"57","querer",10172
"58","oficial",10103
"59","proceso",9750
"60","llegar",9620
"61","sección",9564
"62","encontrar",9526
"63","saber",9509
"64","mirar",9470
"65","muerte",9448
"66","diligencia",9446
"67","operacional",9434
"68","capitán",9426
"69","presentar",9357
"70","conocer",9268
"71","arma",8927
"72","escuchar",8786
"73","quedar",8751
"74","dónde",8499
"75","recibir",8333
"76","documento",8325
"77","llamar",8275
"78","s",8116
"79","mar",8029
"80","misión",7528
"81","pregunta",7522
"82","pedir",7472
"83","punto",7408
"84","personal",7181
"85","sector",7077
"86","forma",7031
"87","tropa",7001
"88","tomar",6984
"89","número",6935
"90","participar",6837
"91","gente",6810
"92","entender",6735
"93","permiso",6729
"94","sitio",6577
"95","programa",6571
"96","compareciente",6561
"97","entregar",6509
"98","derecho",6494
"99","civil",6445
"100","empezar",6414
"101","cabo",6349
"102","época",6298
"103","ah",6212
"104","relación",6135
"105","tocar",6087
"106","justicia",6059
"107","vida",6053
"108","deber",6002
"109","volver",5960
"110","cuánto",5951
"111","reportar",5914
"112","pensar",5910
"113","perdón",5888
"114","investigación",5876
"115","municipio",5840
"116","poner",5762
"117","manejar",5645
"118","seguridad",5639
"119","contar",5597
"120","disparar",5581
"121","frente",5572
"122","música",5562
"123","comando",5559
"124","seguir",5440
"125","control",5384
"126","mañana",5355
"127","el",5353
"128","presente",5301
"129","dejar",5290
"130","fuerza",5284
"131","hora",5281
"132","gaula",5200
"133","guía",5168
"134","voluntario",5154
"135","ocurrir",5138
"136","buscar",5120
"137","nivel",4987
"138","casa",4967
"139","llega",4951
"140","táctica",4920
"141","curso",4911
"142","instrucción",4883
"143","único",4876
"144","tuvir",4872
"145","realmente",4857
"146","mal",4845
"147","guerrilla",4809
"148","jefe",4794
"149","medio",4734
"150","responsabilidad",4705
"151","profesional",4685
"152","familia",4674
"153","zona",4674
"154","radio",4607
"155","tarde",4581
"156","alguien",4558
"157","mandar",4499
"158","oportunidad",4481
"159","reconocimiento",4421
"160","paz",4359
"161","allí",4332
"162","comunicación",4322
"163","correcto",4261
"164","veredir",4257
"165","rodríguez",4228
"166","bajar",4223
"167","alto",4200
"168","problema",4198
"169","mencionar",4186
"170","entrar",4167
"171","lleguér",4147
"172","suceder",4147
"173","cumplir",4131
"174","policía",4110
"175","llama",4092
"176","mi",4069
"177","noche",4057
"178","informante",4031
"179","público",4028
"180","tratar",4027
"181","muchacho",3983
"182","importante",3966
"183","función",3946
"184","verificar",3946
"185","cuerpo",3927
"186","matar",3864
"187","sacar",3843
"188","morir",3802
"189","captura",3800
"190","prácticamente",3760
"191","hermano",3750
"192","decisión",3721
"193","superior",3693
"194","base",3687
"195","actividad",3686
"196","división",3636
"197","normal",3582
"198","b",3579
"199","declaración",3579
"200","respuesta",3579
"201","penal",3575
"202","quién",3574
"203","humano",3554
"204","pueblo",3533
"205","exactamente",3504
"206","particular",3503
"207","presencia",3494
"208","desarrollar",3483
"209","esperar",3443
"210","audiencia",3428
"211","presentado",3427
"212","contacto",3413
"213","llamado",3412
"214","realizar",3378
"215","población",3367
"216","enviar",3359
"217","registro",3333
"218","abogado",3314
"219","suboficial",3309
"220","reunión",3284
"221","comentar",3276
"222","enemigo",3276
"223","moto",3263
"224","directo",3258
"225","vehículo",3245
"226","cambiar",3229
"227","plan",3221
"228","integrante",3219
"229","escuela",3214
"230","acción",3201
"231","paramilitar",3196
"232","cargo",3188
"233","desarrollo",3173
"234","magdaleno",3173
"235","ocasión",3169
"236","disparo",3165
"237","razón",3160
"238","ley",3128
"239","pago",3127
"240","colocar",3110
"241","existir",3104
"242","mano",3100
"243","objetivo",3100
"244","pagar",3068
"245","armado",3058
"246","judicial",3052
"247","hijo",3039
"248","organización",3026
"249","muerto",3021
"250","representante",2982
"251","traslado",2979
"252","sentido",2973
"253","daban",2969
"254","procedimiento",2959
"255","ser",2951
"256","carro",2943
"257","contraguerrilla",2937
"258","creer",2937
"259","levantamiento",2937
"260","término",2937
"261","hombre",2923
"262","nacional",2904
"263","trabajar",2889
"264","necesitar",2878
"265","utilizar",2878
"266","servicio",2855
"267","marco",2849
"268","cuándo",2847
"269","dinero",2846
"270","continuar",2843
"271","aparecer",2841
"272","iniciar",2838
"273","declarar",2821
"274","abrigada",2804
"275","acabar",2786
"276","indicar",2755
"277","plata",2749
"278","trasladado",2747
"279","c",2731
"280","torre",2724
"281","familiar",2711
"282","llegaba",2711
"283","final",2694
"284","sentir",2685
"285","material",2670
"286","detalle",2635
"287","oficina",2633
"288","ahorita",2628
"289","guerrillero",2616
"290","permitir",2616
"291","listo",2612
"292","referir",2612
"293","terminar",2612
"294","encargado",2600
"295","prestar",2576
"296","guerra",2549
"297","acto",2542
"298","reporte",2542
"299","explicar",2537
"300","firma",2531
"301","participación",2524
"302","apoyo",2520
"303","fusil",2507
"304","felicitación",2488
"305","departamento",2487
"306","mío",2466
"307","compañero",2465
"308","vivir",2465
"309","mantener",2448
"310","perfecto",2446
"311","junio",2427
"312","nuevamente",2420
"313","señor",2396
"314","tanto",2394
"315","manifestar",2391
"316","medida",2385
"317","reconocer",2372
