"word","cluster","eigen"
"batallón","5","1"
"brigada","10","0.674198929997809"
"especial","9","0.244932505863309"
"operacionales","23","0.0994839898161787"
"operaciones","10","0.680441512400546"
"comandante","10","0.827205098169162"
"inteligencia","10","0.464586774387153"
"versión","21","0.0698659541035605"
"derechos","14","0.0128240421845441"
"misión","9","0.173589964355279"
"oficial","10","0.303412579616344"
"militar","9","0.227626474938"
"bajas","23","0.273543149646046"
"civil","2","0.0756612905758278"
"profesional","5","0.0143931218300541"
"justicia","9","0.0489907648150497"
"área","10","0.287686264184515"
"común","11","0.000358332078108089"
"especiales","11","0.0714638349957731"
"operacional","9","0.150496850048895"
"informe","9","0.147145064604076"
"profesionales","10","0.0232876517901988"
"compañía","10","0.442284203535283"
"jefe","10","0.134033709222456"
"representación","21","0.0123438231818507"
"diligencia","21","0.0657137848282614"
"combate","23","0.486576297168363"
"control","9","0.136199975558063"
"pronto","23","0.682144163085341"
"programas","10","0.151448174484742"
"coronel","10","0.48783763537688"
"fuerza","11","0.0267469520170541"
"ejército","10","0.405280852630586"
"reconocimiento","9","0.0563421459208372"
"versiones","21","0.0390819056190515"
"rita","25","8.87257822958263e-06"
"escuela","5","0.0425356225654675"
"anexo","10","0.0241654860598047"
"armado","14","0.00888728852880377"
"representantes","21","0.00830221264700924"
"misiones","10","0.0151392194204158"
"artículo","14","0.0174535157504379"
"información","23","0.704042398839253"
"regulares","10","0.0348705513349983"
"representante","21","0.0151425427152025"
"fuerzas","11","0.0410625571774026"
"desarrollo","9","0.0638131912590325"
"orden","9","0.542261793740762"
"ley","9","0.0153878924000975"
"conocimiento","23","0.541779019407978"
"días","21","0.398599495316607"
"judicial","21","0.0270900451024387"
"capera","25","0.0316648276335744"
"cédula","5","0.0138148892022916"
"cooperantes","6","0.00127875983565724"
"hoja","1","0.0021590924514239"
"ejecuciones","20","0.00684827442439419"
"escalante","25","0.0182368611055044"
"acto","14","0.00138400659245084"
"armados","11","0.00232887140746596"
"carrera","9","0.00510775258513971"
"comando","10","0.14424071447418"
"tácticas","10","0.0368970270917485"
"gastos","18","0.000943896548039574"
"comandantes","10","0.241422754834964"
"carlos","25","0.00177588791559557"
"folio","1","0.00215813077298856"
"ilegítimamente","23","0.00284032138072308"
"casanare","11","0.0239076759061934"
"baja","23","0.244507174352994"
"falsos","1","0.000265828561228885"
"exactamente","10","0.136506475860379"
"táctica","9","0.0817615652539845"
"caso","21","0.560365725673859"
"derecho","9","0.0101038209368234"
"ilegítimas","23","0.00861336930085035"
"abrigada","10","0.082216196622901"
"punto","21","0.111647652830235"
"b","10","0.150607096689285"
"reparación","14","0.00885223057580331"
"guerra","24","0.00506404685672196"
"salí","5","0.0601663015727516"
"campesinos","10","0.0257291985471078"
"condicionalidad","14","0.000325603725598565"
"general","10","0.362991813515121"
"repito","21","0.00919329179856049"
"nacional","11","0.0274522456674351"
"humanitario","9","1.00635315541679e-05"
"día","21","0.53799568047921"
"magistrados","21","0.00912219685947269"
"libertad","17","0.000635120075961936"
"recuerdo","10","0.670077436215017"
"jurídicas","23","0.000348710166454128"
"pelotón","10","0.655960938197209"
"familiares","23","0.030221504593334"
"definición","23","0.00813058090503377"
"dónde","23","0.34558034932585"
"oficiales","10","0.0765353189255313"
"consejo","5","0.0082147754583097"
"batalla","9","0.0321173194038921"
